County,State,Hazard Score,Wildfire,Volcano,Tornado,Snowfall,Landslide,Hurricane,Earthquake,Drought,Heatwave,Avalanche,Flood
grant county,AR,13,High,None,Medium,Low,Low,Medium,Low,None,Medium,None,Low
greene county,AR,12,Low,None,Medium,Low,Low,Low,High,None,Low,None,Medium
hempstead county,AR,12,Medium,None,Medium,Low,Low,Low,Low,None,High,None,Low
hot spring county,AR,15,Medium,None,High,Low,Medium,Medium,Low,None,High,None,Low
howard county,AR,11,Low,None,High,Low,Medium,None,Low,None,Medium,None,Low
independence county,AR,15,Low,None,High,Low,Medium,Medium,Medium,None,High,None,Low
izard county,AR,11,Low,None,Medium,Low,Low,None,Medium,None,High,None,Low
jackson county,AR,13,Low,None,High,Low,Medium,Low,Medium,None,Medium,None,Low
jefferson county,AR,13,Low,None,Medium,Low,Low,Low,Medium,None,Medium,None,High
johnson county,AR,11,Low,None,High,Low,Medium,Low,Low,None,Low,None,Low
lafayette county,AR,12,Medium,None,Low,Low,Low,Medium,Low,None,High,None,Low
lawrence county,AR,10,Low,None,Medium,Low,Low,Low,Medium,None,Low,None,Low
lee county,AR,12,Low,None,Low,Low,Medium,None,Medium,None,High,None,Medium
lincoln county,AR,11,Low,None,Medium,Low,Low,Medium,Low,None,Medium,None,Low
little river county,AR,9,Low,None,Low,Low,Low,None,Low,None,High,None,Low
logan county,AR,10,Low,None,Medium,Low,Medium,Low,Low,None,Low,None,Low
lonoke county,AR,15,Low,None,High,Low,Medium,Low,Medium,None,High,None,Medium
madison county,AR,8,Low,None,Low,Low,Medium,None,Low,None,Low,None,Low
marion county,AR,10,Low,None,Medium,Low,Low,Low,Medium,None,Low,None,Low
miller county,AR,12,Medium,None,Medium,Low,Low,Low,Low,None,High,None,Low
mississippi county,AR,17,Low,None,High,Low,Medium,Low,High,None,High,None,High
monroe county,AR,13,Low,None,Medium,Low,Low,Low,Medium,None,Medium,None,High
montgomery county,AR,8,Low,None,Low,Low,Medium,None,Low,None,Low,None,Low
nevada county,AR,14,High,None,Medium,Low,Low,Medium,Low,None,High,None,Low
newton county,AR,10,Low,None,Low,Low,Medium,Low,Low,None,Medium,None,Low
ouachita county,AR,14,High,None,Low,Low,Low,Medium,Low,None,High,None,Medium
perry county,AR,12,Low,None,Medium,Low,High,None,Medium,None,Medium,None,Low
phillips county,AR,12,Low,None,Medium,Low,Medium,None,Medium,None,Low,None,High
pike county,AR,10,Low,None,Medium,Low,Medium,Low,Low,None,Low,None,Low
poinsett county,AR,12,Low,None,Medium,Low,Low,None,High,None,High,None,Low
polk county,AR,10,Low,None,Medium,Low,Medium,Low,Low,None,Low,None,Low
pope county,AR,10,Low,None,Medium,Low,Medium,None,Medium,None,Low,None,Low
prairie county,AR,10,Low,None,Medium,Low,Low,Low,Medium,None,Low,None,Low
pulaski county,AR,15,Low,None,High,Low,Medium,Low,Medium,None,Medium,None,High
randolph county,AR,11,Low,None,Medium,Low,Low,Low,Medium,None,Medium,None,Low
saline county,AR,15,Medium,None,High,Low,Medium,Low,Medium,None,Medium,None,Medium
scott county,AR,11,Low,None,Low,Low,High,Low,Low,None,Medium,None,Low
searcy county,AR,13,Low,None,Medium,Low,Medium,Low,Medium,None,High,None,Low
sebastian county,AR,15,Medium,None,High,Low,High,None,Low,None,High,None,Medium
sevier county,AR,11,Medium,None,Medium,Low,Low,None,Low,None,High,None,Low
sharp county,AR,12,Low,None,Medium,Low,Low,Low,Medium,None,High,None,Low
st. francis county,AR,14,Low,None,Medium,Low,Medium,None,Medium,None,High,None,High
stone county,AR,12,Low,None,Medium,Low,Medium,None,Medium,None,High,None,Low
union county,AR,10,Medium,None,Medium,Low,Low,Low,Low,None,Low,None,Low
van buren county,AR,13,Low,None,Medium,Low,High,None,Medium,None,High,None,Low
washington county,AR,10,Medium,None,Medium,Low,Medium,None,Low,None,Low,None,Low
white county,AR,13,Low,None,High,Low,Medium,Low,Medium,None,Medium,None,Low
woodruff county,AR,14,Low,None,High,Low,Low,Medium,Medium,None,High,None,Low
yell county,AR,12,Low,None,Medium,Low,Medium,Low,Low,None,High,None,Low
apache county,AZ,13,Medium,None,Low,Medium,Medium,None,Low,Low,High,None,Low
cochise county,AZ,14,Medium,None,Low,Low,Low,Low,Low,Low,High,None,High
coconino county,AZ,13,Medium,Low,Low,Medium,Low,None,Low,Low,High,None,Low
gila county,AZ,12,High,None,Low,Low,Low,None,Low,Low,High,None,Low
graham county,AZ,11,High,None,None,Low,Low,Low,Low,Low,Low,None,Medium
greenlee county,AZ,12,High,None,None,Low,Low,Low,Low,Low,High,None,Low
la paz county,AZ,12,Low,None,Low,Low,Low,None,Low,Low,High,None,High
maricopa county,AZ,13,Medium,None,Low,Low,Low,None,Low,Low,High,None,High
mohave county,AZ,13,Medium,Low,Low,Low,Low,None,Low,Low,High,None,Medium
navajo county,AZ,13,Medium,None,Low,Medium,Medium,None,Low,Low,High,None,Low
pima county,AZ,12,Medium,None,Low,Low,Low,Low,Low,Low,Medium,None,Medium
pinal county,AZ,14,High,None,Low,Low,Low,None,Low,Low,High,None,High
santa cruz county,AZ,12,High,None,None,Low,Low,Low,Low,Low,Medium,None,Medium
yavapai county,AZ,13,High,None,Low,Low,Low,None,Low,Low,High,None,Medium
yuma county,AZ,12,Low,None,Low,Low,Low,Low,Medium,Low,Low,None,High
alameda county,CA,15,Medium,None,Low,Low,High,None,High,Low,Low,None,High
alpine county,CA,17,High,None,None,High,Low,None,Medium,Medium,High,Medium,Low
amador county,CA,12,High,None,None,Low,Low,None,Medium,Low,High,None,Low
butte county,CA,13,High,None,Low,Low,Low,None,Medium,Low,Low,None,High
calaveras county,CA,14,High,None,Low,Low,Low,None,Medium,Medium,High,None,Low
colusa county,CA,14,Medium,None,None,Low,Medium,None,Medium,Low,High,None,High
contra costa county,CA,14,Low,None,Low,Low,Medium,None,High,Medium,Low,None,High
del norte county,CA,14,High,None,Low,Low,High,None,High,None,Medium,None,Low
el dorado county,CA,17,High,None,Low,High,Low,None,Medium,Low,High,Medium,Low
fresno county,CA,18,Medium,None,Low,Low,Medium,None,High,High,High,None,High
glenn county,CA,16,High,None,Low,Low,Medium,None,Medium,Low,High,None,High
humboldt county,CA,14,High,None,Low,Low,High,None,High,None,Medium,None,Low
imperial county,CA,17,Low,Medium,Low,Low,Low,Low,High,Low,High,None,High
inyo county,CA,15,Low,Medium,None,Low,Low,None,Medium,Medium,High,None,High
kern county,CA,18,Medium,None,Low,Low,Medium,None,High,High,High,None,High
kings county,CA,14,Low,None,Low,Low,Medium,None,Medium,High,Low,None,High
lake county,CA,17,High,High,None,Low,High,None,High,Low,Low,None,Medium
lassen county,CA,14,High,None,None,Medium,Low,None,High,Low,High,None,Low
los angeles county,CA,20,High,None,Low,Low,Medium,None,High,High,High,Low,High
madera county,CA,16,High,None,Low,Low,Low,None,Medium,High,High,None,Medium
marin county,CA,14,High,None,Low,None,High,None,High,None,Low,None,High
mariposa county,CA,16,High,None,Low,Medium,Low,None,Medium,High,High,None,Low
mendocino county,CA,16,High,None,Low,Low,High,None,High,Low,High,None,Low
merced county,CA,17,High,None,Low,Low,Medium,None,Medium,Medium,High,None,High
modoc county,CA,13,High,None,None,Medium,Low,None,Medium,Low,High,None,Low
mono county,CA,22,High,High,None,Medium,Low,None,High,Medium,High,Medium,High
monterey county,CA,18,High,None,Low,Low,Medium,None,High,Medium,High,None,High
napa county,CA,15,High,None,None,Low,Medium,None,High,Low,High,None,Medium
nevada county,CA,16,High,None,None,High,Low,None,Medium,Low,High,Medium,Low
orange county,CA,18,Medium,None,Medium,Low,Medium,None,High,High,Medium,None,High
placer county,CA,17,High,None,Low,High,Low,None,Medium,Low,High,Medium,Low
plumas county,CA,14,High,None,None,High,Low,None,Medium,Low,High,None,Low
riverside county,CA,17,Medium,None,Low,Low,Low,Low,High,Medium,High,None,High
sacramento county,CA,13,Low,None,Low,Low,Low,None,Medium,Low,High,None,High
san benito county,CA,16,High,None,Low,Low,Medium,None,High,Medium,High,None,Low
san bernardino county,CA,16,Low,Low,Low,Low,Low,None,High,Medium,High,Low,Medium
san diego county,CA,17,High,None,Low,Low,Low,None,High,Medium,Medium,Low,High
san francisco county,CA,10,Low,None,None,None,Medium,None,High,None,High,None,Low
san joaquin county,CA,15,Low,None,Low,Low,Medium,None,Medium,Medium,High,None,High
san luis obispo county,CA,17,High,None,Low,Low,Medium,None,High,High,Medium,None,Medium
san mateo county,CA,14,High,None,Low,Low,Medium,None,High,None,Low,None,High
santa barbara county,CA,18,High,None,Low,Low,Medium,None,High,High,High,None,Medium
santa clara county,CA,17,High,None,Low,Low,High,None,High,Low,Medium,None,High
santa cruz county,CA,15,High,None,Low,Low,Medium,None,High,Low,Medium,None,Medium
shasta county,CA,17,High,Medium,None,Medium,Medium,None,Medium,Low,High,None,Medium
sierra county,CA,15,High,None,Low,High,Low,None,Medium,Low,High,None,Low
siskiyou county,CA,16,High,Medium,Low,Medium,Medium,None,Medium,None,High,None,Low
solano county,CA,14,Low,None,Low,Low,Medium,None,High,Low,Medium,None,High
sonoma county,CA,17,High,None,Low,Low,High,None,High,Low,Medium,None,High
stanislaus county,CA,17,High,None,Low,Low,Medium,None,Medium,Medium,High,None,High
sutter county,CA,13,Low,None,Low,Low,Low,None,Medium,Low,High,None,High
tehama county,CA,15,High,None,Low,Low,Medium,None,Medium,Low,High,None,Medium
trinity county,CA,15,High,None,None,Low,High,None,High,Low,High,None,Low
tulare county,CA,20,High,Medium,Low,Medium,Low,None,Medium,High,High,None,High
tuolumne county,CA,16,High,None,Low,High,Low,None,Medium,Medium,High,None,Low
ventura county,CA,18,High,None,Low,Low,Medium,None,High,High,Medium,None,High
yolo county,CA,14,Low,None,Low,Low,Medium,None,Medium,Low,High,None,High
yuba county,CA,15,High,None,Low,Low,Low,None,Medium,Low,High,None,High
adams county,CO,12,Low,None,High,Medium,Low,None,Low,None,Medium,None,Medium
alamosa county,CO,12,Low,None,Low,Medium,Low,None,Medium,None,High,Low,Low
arapahoe county,CO,13,Low,None,High,High,Medium,None,Low,None,Low,None,Medium
archuleta county,CO,15,High,None,Low,High,Medium,None,Low,None,Medium,Medium,Low
baca county,CO,8,Low,None,Low,Medium,Low,None,Low,None,Low,None,Low
bent county,CO,9,Low,None,Low,Medium,Medium,None,Low,None,Low,None,Low
boulder county,CO,16,Medium,None,Low,High,Medium,None,Low,None,Medium,Medium,High
broomfield county,CO,16,Low,None,High,High,Medium,None,Low,None,Medium,Low,High
chaffee county,CO,15,Low,None,Low,High,Medium,None,Medium,None,High,Medium,Low
cheyenne county,CO,10,Low,None,Medium,Medium,Medium,None,Low,None,Low,None,Low
clear creek county,CO,15,Low,None,Low,High,Medium,None,Medium,None,High,Medium,Low
conejos county,CO,13,Low,None,Low,High,Medium,None,Medium,None,High,None,Low
costilla county,CO,13,Low,None,Low,High,Low,None,Medium,None,High,Low,Low
crowley county,CO,9,Low,None,Low,Medium,Medium,None,Low,None,Low,None,Low
custer county,CO,12,Low,None,Low,High,Medium,None,Medium,None,Low,Low,Low
delta county,CO,18,Medium,None,Low,High,High,None,Medium,None,High,Medium,Medium
denver county,CO,14,Low,None,High,High,Low,None,Low,None,Medium,None,High
dolores county,CO,14,Medium,None,None,High,Medium,None,Low,None,High,Medium,Low
douglas county,CO,14,Medium,None,High,High,Low,None,Low,None,Medium,None,Medium
eagle county,CO,18,Medium,High,Low,High,High,None,Medium,None,High,None,Low
el paso county,CO,11,Low,None,Medium,Medium,Medium,None,Low,None,Medium,None,Low
elbert county,CO,10,Low,None,Medium,Medium,Medium,None,Low,None,Low,None,Low
fremont county,CO,12,Low,None,Low,High,Medium,None,Low,None,Medium,Low,Low
garfield county,CO,13,High,None,None,High,High,None,Medium,None,Low,None,Low
gilpin county,CO,13,Low,None,None,High,Medium,None,Medium,None,Medium,Medium,Low
grand county,CO,16,Low,None,Low,High,High,None,Medium,None,Medium,High,Low
gunnison county,CO,15,Low,None,None,High,High,None,Medium,None,Medium,High,Low
hinsdale county,CO,15,Medium,None,None,High,High,None,Medium,None,Medium,Medium,Low
huerfano county,CO,13,Low,None,Low,High,Medium,None,Low,None,High,Low,Low
jackson county,CO,13,Low,None,Low,High,Medium,None,Medium,None,Medium,Low,Low
jefferson county,CO,16,Medium,None,Low,High,Medium,None,Low,None,Medium,Medium,High
kiowa county,CO,10,Low,None,Medium,Medium,Medium,None,Low,None,Low,None,Low
kit carson county,CO,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
la plata county,CO,17,High,None,Low,High,Medium,None,Low,None,High,Medium,Medium
lake county,CO,11,Low,None,None,High,High,None,Medium,None,Low,None,Low
larimer county,CO,14,Low,None,Low,High,Medium,None,Low,None,Medium,Medium,Medium
las animas county,CO,10,Low,None,Low,Medium,Medium,None,Low,None,Medium,None,Low
lincoln county,CO,11,Low,None,Medium,Medium,Medium,None,Low,None,Medium,None,Low
logan county,CO,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
mesa county,CO,17,High,None,Low,Medium,High,None,Medium,None,High,Medium,Low
mineral county,CO,13,Medium,None,Low,High,High,None,Medium,None,Low,None,Low
moffat county,CO,15,Medium,None,Low,High,Medium,None,Medium,None,High,Low,Low
montezuma county,CO,16,High,None,Low,High,Medium,None,Low,None,High,Medium,Low
montrose county,CO,15,High,None,Low,Medium,Medium,None,Low,None,High,Medium,Low
morgan county,CO,12,Low,None,High,Medium,Low,None,Low,None,High,None,Low
otero county,CO,9,Low,None,Low,Medium,Medium,None,Low,None,Low,None,Low
ouray county,CO,16,Medium,None,None,High,High,None,Medium,None,High,Medium,Low
park county,CO,13,Low,None,Low,High,Medium,None,Medium,None,Low,Medium,Low
phillips county,CO,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
pitkin county,CO,17,Low,None,Low,High,High,None,Medium,None,High,High,Low
prowers county,CO,10,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Medium
pueblo county,CO,10,Low,None,Low,Medium,Medium,None,Low,None,Medium,None,Low
rio blanco county,CO,16,High,None,Low,High,Medium,None,Medium,None,High,Low,Low
rio grande county,CO,13,Low,None,Low,High,Medium,None,Low,None,High,None,Medium
routt county,CO,14,Medium,None,Low,High,Medium,None,Medium,None,High,None,Low
saguache county,CO,14,Low,None,Low,High,Medium,None,Medium,None,High,Low,Low
san juan county,CO,15,Low,None,None,High,High,None,Medium,None,High,Medium,Low
san miguel county,CO,15,Medium,None,None,High,Medium,None,Low,None,High,High,Low
sedgwick county,CO,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
summit county,CO,14,Low,None,None,High,High,None,Medium,None,Low,High,Low
teller county,CO,12,High,None,Low,High,Low,None,Low,None,Medium,None,Low
washington county,CO,10,Low,None,Medium,Medium,Medium,None,Low,None,Low,None,Low
weld county,CO,12,Low,None,High,Medium,Medium,None,Low,None,Low,None,Medium
yuma county,CO,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
fairfield county,CT,12,Low,None,Low,Medium,Low,Medium,Low,None,Low,None,High
hartford county,CT,14,Low,None,Medium,Medium,Medium,Medium,Low,None,Low,None,High
litchfield county,CT,12,Low,None,Medium,High,Low,Medium,Low,None,Low,None,Low
middlesex county,CT,14,Low,None,Medium,Medium,Low,High,Low,None,Low,None,High
new haven county,CT,14,Low,None,Medium,Medium,Low,High,Low,None,Low,None,High
new london county,CT,13,Low,None,Low,Medium,Low,High,Low,None,Low,None,High
tolland county,CT,12,Low,None,Medium,Medium,Low,Medium,Low,None,Low,None,Medium
windham county,CT,11,Low,None,Low,Medium,Low,High,Low,None,Low,None,Low
District of Columbia,DC,17,Low,None,High,Medium,Medium,Medium,Low,None,High,None,High
kent county,DE,14,Low,None,Medium,Medium,Low,Medium,Low,None,Medium,None,High
new castle county,DE,14,Low,None,High,Medium,Low,None,Low,None,High,None,High
sussex county,DE,12,Low,None,Low,Medium,Low,Medium,Low,None,Low,None,High
alachua county,FL,18,High,None,High,Low,Low,High,Low,None,High,None,High
baker county,FL,13,High,None,Low,Low,Low,High,Low,None,Low,None,Medium
bay county,FL,18,High,None,High,Low,Low,High,Low,None,High,None,High
bradford county,FL,17,High,None,High,Low,Low,High,Low,None,High,None,Medium
brevard county,FL,16,High,None,High,None,Low,High,Low,None,Medium,None,High
broward county,FL,17,High,None,High,None,Low,High,Low,None,High,None,High
calhoun county,FL,16,High,None,Medium,Low,Low,High,Low,None,Medium,None,High
charlotte county,FL,16,High,None,High,None,Low,High,Low,None,Medium,None,High
citrus county,FL,17,High,None,High,None,Low,High,Low,None,High,None,High
clay county,FL,15,High,None,Medium,Low,Low,High,Low,None,Low,None,High
collier county,FL,15,High,None,Low,None,Low,High,Low,None,High,None,High
columbia county,FL,15,High,None,Low,Low,Low,High,Low,None,Medium,None,High
desoto county,FL,15,Medium,None,Medium,None,Low,High,Low,None,High,None,High
dixie county,FL,16,High,None,Low,Low,Low,High,Low,None,High,None,High
duval county,FL,16,Medium,None,High,Low,Low,High,Low,None,Medium,None,High
escambia county,FL,18,High,None,High,Low,Low,High,Low,None,High,None,High
flagler county,FL,17,High,None,Medium,Low,Low,High,Low,None,High,None,High
franklin county,FL,16,High,None,Medium,Low,Low,High,Low,None,Medium,None,High
gadsden county,FL,17,High,None,High,Low,Low,High,Low,None,High,None,Medium
gilchrist county,FL,16,High,None,Low,Low,Low,High,Low,None,High,None,High
glades county,FL,15,High,None,Low,None,Low,High,Low,None,High,None,High
gulf county,FL,17,High,None,Medium,Low,Low,High,Low,None,High,None,High
hamilton county,FL,15,High,None,Low,Low,Low,High,Low,None,Medium,None,High
hardee county,FL,15,High,None,Low,None,Low,High,Low,None,High,None,High
hendry county,FL,15,High,None,Low,None,Low,High,Low,None,High,None,High
hernando county,FL,16,Medium,None,High,None,Low,High,Low,None,High,None,High
highlands county,FL,14,High,None,Medium,None,Low,High,Low,None,High,None,Low
hillsborough county,FL,11,Low,None,High,None,Low,Medium,Low,None,Low,None,Medium
holmes county,FL,13,Medium,None,Medium,Low,Low,High,Low,None,Medium,None,Low
indian river county,FL,14,Medium,None,Medium,None,Low,High,Low,None,Medium,None,High
jackson county,FL,13,Medium,None,Medium,Low,Low,High,Low,None,Medium,None,Low
jefferson county,FL,14,Medium,None,Low,Low,Low,High,Low,None,Medium,None,High
lafayette county,FL,17,High,None,Medium,Low,Low,High,Low,None,High,None,High
lake county,FL,14,High,None,High,None,Low,High,Low,None,Low,None,Medium
lee county,FL,16,Medium,None,High,None,Low,High,Low,None,High,None,High
leon county,FL,15,Medium,None,Medium,Low,Low,High,Low,None,High,None,Medium
levy county,FL,14,High,None,Low,None,Low,High,Low,None,High,None,Medium
liberty county,FL,13,High,None,Low,Low,Low,High,Low,None,Low,None,Medium
madison county,FL,14,High,None,Medium,Low,Low,Medium,Low,None,Low,None,High
manatee county,FL,15,Medium,None,High,None,Low,Medium,Low,None,High,None,High
marion county,FL,13,High,None,Medium,None,Low,High,Low,None,Low,None,Medium
martin county,FL,13,Medium,None,Medium,None,Low,High,Low,None,Low,None,High
miami-dade county,FL,16,High,None,High,None,Low,High,Low,None,Medium,None,High
monroe county,FL,12,Medium,None,Low,None,Low,High,Low,None,Medium,None,Medium
nassau county,FL,15,High,None,Low,Low,Low,High,Low,None,Medium,None,High
okaloosa county,FL,17,High,None,High,Low,Low,High,Low,None,High,None,Medium
okeechobee county,FL,16,High,None,Medium,None,Low,High,Low,None,High,None,High
orange county,FL,15,Medium,None,High,None,Low,High,Low,None,Medium,None,High
osceola county,FL,14,High,None,Low,None,Low,High,Low,None,Medium,None,High
palm beach county,FL,12,Low,None,Medium,None,Low,High,Low,None,High,None,Low
pasco county,FL,16,Medium,None,High,None,Low,High,Low,None,High,None,High
pinellas county,FL,14,Low,None,High,None,Low,High,Low,None,Medium,None,High
polk county,FL,13,High,None,High,None,Low,High,Low,None,Low,None,Low
putnam county,FL,15,High,None,Medium,Low,Low,High,Low,None,Low,None,High
santa rosa county,FL,16,High,None,High,Low,Low,Medium,Low,None,Medium,None,High
